DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,Vict Descent Full,Vict Age Group,Time_Formatted,Hour,Time_Category,Date_Rptd,DATE_OCC,Year,Month,DayOfWeek,Reporting_Delay,Delay_Category,zip_code
211905603,02/08/2021 12:00:00 AM,01/01/2020 12:00:00 AM,1200,19,Mission,1961,1,122,"RAPE, ATTEMPTED",0913 1814 0500 0504 0537 0522 0532,15,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",122,,,,Black,Adolescents (13-17),12:00,12,Afternoon (12-18),2021-02-08,2020-01-01,2020,Jan,Wed,404,Over 1 year,91343.0
201422353,12/29/2020 12:00:00 AM,12/21/2020 12:00:00 AM,100,14,Pacific,1425,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0500 0913 1820 1206 2001 1817 1259,17,F,W,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",815,,,,White,Adolescents (13-17),1:00,1,Night (0-6),2020-12-29,2020-12-21,2020,Dec,Mon,8,8-30 days,90066.0
211805975,02/04/2021 12:00:00 AM,08/11/2020 12:00:00 AM,2300,18,Southeast,1842,1,121,"RAPE, FORCIBLE",0913 0360 1258 0500 0518 0532 0531,12,F,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,812.0,,,Black,Children (0-12),23:00,23,Evening (18-24),2021-02-04,2020-08-11,2020,Aug,Tue,177,1-12 months,90061.0
201415102,08/07/2020 12:00:00 AM,05/03/2020 12:00:00 AM,1900,14,Pacific,1409,1,820,ORAL COPULATION,0400 1258 0913 0552 0510 0401 0545,3,M,O,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",812,820.0,,,Other,Children (0-12),19:00,19,Evening (18-24),2020-08-07,2020-05-03,2020,May,Sun,96,1-12 months,90034.0
202006571,02/23/2020 12:00:00 AM,02/23/2020 12:00:00 AM,45,20,Olympic,2017,2,860,BATTERY WITH SEXUAL CONTACT,0305 0448 0551 0913,25,F,H,703,ENTERTAINMENT/COMEDY CLUB (OTHER),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Hispanic,Adults (25-49),0:45,0,Night (0-6),2020-02-23,2020-02-23,2020,Feb,Sun,0,0-1 days,90004.0
231513685,08/18/2023 12:00:00 AM,06/01/2020 12:00:00 AM,1200,15,N Hollywood,1504,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0913 0522 0503 1258 0515,9,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",812,815.0,,,Hispanic,Children (0-12),12:00,12,Afternoon (12-18),2023-08-18,2020-06-01,2020,Jun,Mon,1173,Over 1 year,91605.0
201405605,01/28/2020 12:00:00 AM,01/27/2020 12:00:00 AM,1950,14,Pacific,1489,2,860,BATTERY WITH SEXUAL CONTACT,0522 2049,35,F,W,710,OTHER PREMISE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,White,Adults (25-49),19:50,19,Evening (18-24),2020-01-28,2020-01-27,2020,Jan,Mon,1,0-1 days,90045.0
201819578,10/13/2020 12:00:00 AM,10/13/2020 12:00:00 AM,2000,18,Southeast,1802,2,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,1251 1259 0943,16,F,B,102,SIDEWALK,,,822,,,,Black,Adolescents (13-17),20:00,20,Evening (18-24),2020-10-13,2020-10-13,2020,Oct,Tue,0,0-1 days,90044.0
201319408,11/02/2020 12:00:00 AM,11/02/2020 12:00:00 AM,1320,13,Newton,1353,2,860,BATTERY WITH SEXUAL CONTACT,0913 0500 0400 0522,19,F,H,710,OTHER PREMISE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Hispanic,Young Adults (18-24),13:20,13,Afternoon (12-18),2020-11-02,2020-11-02,2020,Nov,Mon,0,0-1 days,90011.0
201315706,08/19/2020 12:00:00 AM,08/17/2020 12:00:00 AM,730,13,Newton,1372,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0913 2000 0519,29,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",821,,,,Hispanic,Adults (25-49),7:30,7,Morning (6-12),2020-08-19,2020-08-17,2020,Aug,Mon,2,1-7 days,90011.0
211415778,07/29/2021 12:00:00 AM,08/02/2020 12:00:00 AM,209,14,Pacific,1444,1,121,"RAPE, FORCIBLE",0527 0913 0940 0509 2002 0540 0513 0516 0551 1814,20,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,White,Young Adults (18-24),2:09,2,Night (0-6),2021-07-29,2020-08-02,2020,Aug,Sun,361,1-12 months,90292.0
201914784,09/21/2020 12:00:00 AM,09/20/2020 12:00:00 AM,1130,19,Mission,1991,2,860,BATTERY WITH SEXUAL CONTACT,448,77,F,W,728,ELEVATOR,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,White,Older Adults (50+),11:30,11,Morning (6-12),2020-09-21,2020-09-20,2020,Sep,Sun,1,0-1 days,91406.0
201500656,03/03/2020 12:00:00 AM,02/29/2020 12:00:00 AM,1200,15,N Hollywood,1548,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1822 1415 0522 0400 1402 0515,25,F,W,718,MASSAGE PARLOR,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",815,998.0,,,White,Adults (25-49),12:00,12,Afternoon (12-18),2020-03-03,2020-02-29,2020,Feb,Sat,3,1-7 days,91601.0
202117041,12/15/2020 12:00:00 AM,12/09/2020 12:00:00 AM,1200,21,Topanga,2158,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1218 0515 1822,25,F,W,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",815,,,,White,Adults (25-49),12:00,12,Afternoon (12-18),2020-12-15,2020-12-09,2020,Dec,Wed,6,1-7 days,91303.0
201406273,02/08/2020 12:00:00 AM,02/07/2020 12:00:00 AM,2245,14,Pacific,1483,2,860,BATTERY WITH SEXUAL CONTACT,0500 0522,91,M,B,237,HOSPICE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Black,Older Adults (50+),22:45,22,Evening (18-24),2020-02-08,2020-02-07,2020,Feb,Fri,1,0-1 days,90293.0
201318022,10/06/2020 12:00:00 AM,10/06/2020 12:00:00 AM,1140,13,Newton,1385,2,860,BATTERY WITH SEXUAL CONTACT,1822 0305 0448 0522 0216,50,F,H,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Hispanic,Older Adults (50+),11:40,11,Morning (6-12),2020-10-06,2020-10-06,2020,Oct,Tue,0,0-1 days,90001.0
211111654,08/07/2021 12:00:00 AM,10/10/2020 12:00:00 AM,2200,11,Northeast,1139,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0510 0536 0448 0913 0501 0515 0537,38,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",815,,,,Other,Adults (25-49),22:00,22,Evening (18-24),2021-08-07,2020-10-10,2020,Oct,Sat,301,1-12 months,90042.0
210216655,10/26/2021 12:00:00 AM,10/09/2020 12:00:00 AM,100,2,Rampart,246,1,121,"RAPE, FORCIBLE",1822 1262 0400,20,F,A,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,Asian,Young Adults (18-24),1:00,1,Night (0-6),2021-10-26,2020-10-09,2020,Oct,Fri,382,Over 1 year,90057.0
202004731,01/17/2020 12:00:00 AM,01/14/2020 12:00:00 AM,2230,20,Olympic,2069,1,121,"RAPE, FORCIBLE",0533 2000 0527 0526 0516 1814 1415 0913,27,F,W,710,OTHER PREMISE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,998.0,,,White,Adults (25-49),22:30,22,Evening (18-24),2020-01-17,2020-01-14,2020,Jan,Tue,3,1-7 days,90006.0
202016851,11/07/2020 12:00:00 AM,10/06/2020 12:00:00 AM,200,20,Olympic,2002,2,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,0943 1259 1251,15,F,H,101,STREET,,,822,,,,Hispanic,Adolescents (13-17),2:00,2,Night (0-6),2020-11-07,2020-10-06,2020,Oct,Tue,32,1-12 months,90004.0
201412549,06/20/2020 12:00:00 AM,06/19/2020 12:00:00 AM,1745,14,Pacific,1409,2,860,BATTERY WITH SEXUAL CONTACT,1822 0448 0522,30,F,W,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",625,860.0,,,White,Adults (25-49),17:45,17,Afternoon (12-18),2020-06-20,2020-06-19,2020,Jun,Fri,1,0-1 days,90034.0
201311778,06/03/2020 12:00:00 AM,05/31/2020 12:00:00 AM,1400,13,Newton,1352,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1415 0913 0500 0519 2000 1206 0408,21,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",821,998.0,,,Hispanic,Young Adults (18-24),14:00,14,Afternoon (12-18),2020-06-03,2020-05-31,2020,May,Sun,3,1-7 days,90011.0
201405978,01/22/2020 12:00:00 AM,01/19/2020 12:00:00 AM,1100,14,Pacific,1433,2,860,BATTERY WITH SEXUAL CONTACT,0500 0913 0531 1820 0503,21,F,A,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Asian,Young Adults (18-24),11:00,11,Morning (6-12),2020-01-22,2020-01-19,2020,Jan,Sun,3,1-7 days,90291.0
211310526,05/31/2021 12:00:00 AM,01/01/2020 12:00:00 AM,1200,13,Newton,1345,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1251 0500,15,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",810,812.0,,,Hispanic,Adolescents (13-17),12:00,12,Afternoon (12-18),2021-05-31,2020-01-01,2020,Jan,Wed,516,Over 1 year,90011.0
211609455,07/08/2021 12:00:00 AM,03/15/2020 12:00:00 AM,2300,16,Foothill,1656,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0913 0533,16,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,810,,,,Hispanic,Adolescents (13-17),23:00,23,Evening (18-24),2021-07-08,2020-03-15,2020,Mar,Sun,480,Over 1 year,91042.0
210121427,10/26/2021 12:00:00 AM,10/18/2020 12:00:00 AM,528,1,Central,121,2,860,BATTERY WITH SEXUAL CONTACT,1822 0522 2034 2014,24,F,W,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,White,Young Adults (18-24),5:28,5,Night (0-6),2021-10-26,2020-10-18,2020,Oct,Sun,373,Over 1 year,90012.0
201400816,07/13/2020 12:00:00 AM,07/13/2020 12:00:00 AM,1730,14,Pacific,1468,2,860,BATTERY WITH SEXUAL CONTACT,1402,16,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,998.0,,,Hispanic,Adolescents (13-17),17:30,17,Afternoon (12-18),2020-07-13,2020-07-13,2020,Jul,Mon,0,0-1 days,90230.0
202012991,08/04/2020 12:00:00 AM,08/04/2020 12:00:00 AM,430,20,Olympic,2044,2,860,BATTERY WITH SEXUAL CONTACT,1822 0448 0503 0522,29,F,O,207,BAR/COCKTAIL/NIGHTCLUB,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Other,Adults (25-49),4:30,4,Night (0-6),2020-08-04,2020-08-04,2020,Aug,Tue,0,0-1 days,90005.0
201513004,07/23/2020 12:00:00 AM,07/23/2020 12:00:00 AM,400,15,N Hollywood,1527,1,121,"RAPE, FORCIBLE",0448 0418 0408 1822 1823 0940 1415 0527 0519,24,F,B,507,CONDOMINIUM/TOWNHOUSE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,998.0,,,Black,Young Adults (18-24),4:00,4,Night (0-6),2020-07-23,2020-07-23,2020,Jul,Thu,0,0-1 days,91606.0
201512565,07/12/2020 12:00:00 AM,07/12/2020 12:00:00 AM,1830,15,N Hollywood,1535,1,820,ORAL COPULATION,1206 0444 0400 0545 0512 0913 1804,25,M,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",820,,,,Hispanic,Adults (25-49),18:30,18,Evening (18-24),2020-07-12,2020-07-12,2020,Jul,Sun,0,0-1 days,91601.0
202114286,09/18/2020 12:00:00 AM,08/31/2020 12:00:00 AM,1700,21,Topanga,2134,2,860,BATTERY WITH SEXUAL CONTACT,0913 0940 0448,13,F,O,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Other,Adolescents (13-17),17:00,17,Afternoon (12-18),2020-09-18,2020-08-31,2020,Aug,Mon,18,8-30 days,91307.0
210210739,06/16/2021 12:00:00 AM,01/01/2020 12:00:00 AM,1,2,Rampart,256,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1251 1259 0533 0913 2000,14,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,810,,,,Hispanic,Adolescents (13-17),0:01,0,Night (0-6),2021-06-16,2020-01-01,2020,Jan,Wed,532,Over 1 year,90057.0
211104529,01/16/2021 12:00:00 AM,07/23/2020 12:00:00 AM,5,11,Northeast,1137,1,121,"RAPE, FORCIBLE",0360 0537 1259 0515 0527 0409,14,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,812.0,,,Hispanic,Adolescents (13-17),0:05,0,Night (0-6),2021-01-16,2020-07-23,2020,Jul,Thu,177,1-12 months,90042.0
201600887,12/26/2020 12:00:00 AM,12/25/2020 12:00:00 AM,2200,16,Foothill,1622,2,760,LEWD/LASCIVIOUS ACTS WITH CHILD,0500 0400 0448 0522 1258 0558 0913 0551 1402,13,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",760,998.0,,,Hispanic,Adolescents (13-17),22:00,22,Evening (18-24),2020-12-26,2020-12-25,2020,Dec,Fri,1,0-1 days,91331.0
241604807,01/27/2024 12:00:00 AM,04/17/2020 12:00:00 AM,2330,16,Foothill,1668,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1817 0515,40,F,A,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",815,,,,Asian,Adults (25-49),23:30,23,Evening (18-24),2024-01-27,2020-04-17,2020,Apr,Fri,1380,Over 1 year,91042.0
201908321,04/01/2020 12:00:00 AM,04/01/2020 12:00:00 AM,1600,19,Mission,1984,2,860,BATTERY WITH SEXUAL CONTACT,0340 1822 2004 2002 0400 0503,20,F,H,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Hispanic,Young Adults (18-24),16:00,16,Afternoon (12-18),2020-04-01,2020-04-01,2020,Apr,Wed,0,0-1 days,91402.0
210307296,03/10/2021 12:00:00 AM,03/10/2020 12:00:00 AM,900,3,Southwest,396,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0522 0527 0533 0913 1251 1259 2024,16,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",810,,,,Hispanic,Adolescents (13-17),9:00,9,Morning (6-12),2021-03-10,2020-03-10,2020,Mar,Tue,365,1-12 months,90037.0
201412461,06/18/2020 12:00:00 AM,06/17/2020 12:00:00 AM,1030,14,Pacific,1454,2,860,BATTERY WITH SEXUAL CONTACT,1822 0448 0500 1300,29,F,W,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,White,Adults (25-49),10:30,10,Morning (6-12),2020-06-18,2020-06-17,2020,Jun,Wed,1,0-1 days,90292.0
201913397,08/16/2020 12:00:00 AM,08/16/2020 12:00:00 AM,1445,19,Mission,1994,2,860,BATTERY WITH SEXUAL CONTACT,0448 0503 1822 0910 2049 2051,44,F,H,801,MTA BUS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Hispanic,Adults (25-49),14:45,14,Afternoon (12-18),2020-08-16,2020-08-16,2020,Aug,Sun,0,0-1 days,91402.0
211316852,10/04/2021 12:00:00 AM,04/20/2020 12:00:00 AM,2300,13,Newton,1333,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",,15,F,H,505,MOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",810,,,,Hispanic,Adolescents (13-17),23:00,23,Evening (18-24),2021-10-04,2020-04-20,2020,Apr,Mon,532,Over 1 year,90011.0
231818448,10/25/2023 12:00:00 AM,11/01/2020 12:00:00 AM,1,18,Southeast,1802,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0913 0602 0552 1258 0519,10,F,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",812,821.0,,,Black,Children (0-12),0:01,0,Night (0-6),2023-10-25,2020-11-01,2020,Nov,Sun,1088,Over 1 year,90003.0
210604288,01/08/2021 12:00:00 AM,08/22/2020 12:00:00 AM,1,6,Hollywood,643,1,121,"RAPE, FORCIBLE",0400 2000 0500 0522 0527 1814 1817,23,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,White,Young Adults (18-24),0:01,0,Night (0-6),2021-01-08,2020-08-22,2020,Aug,Sat,139,1-12 months,90046.0
211711434,08/06/2021 12:00:00 AM,01/01/2020 12:00:00 AM,1200,17,Devonshire,1745,1,121,"RAPE, FORCIBLE",0500 0400 2000 0913 1814 1251 0507 0540 0527,22,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,Hispanic,Young Adults (18-24),12:00,12,Afternoon (12-18),2021-08-06,2020-01-01,2020,Jan,Wed,583,Over 1 year,91344.0
211306724,02/25/2021 12:00:00 AM,08/01/2020 12:00:00 AM,1600,13,Newton,1365,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1259 0500 0527,14,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",810,,,,Hispanic,Adolescents (13-17),16:00,16,Afternoon (12-18),2021-02-25,2020-08-01,2020,Aug,Sat,208,1-12 months,90011.0
201810866,05/08/2020 12:00:00 AM,04/01/2020 12:00:00 AM,1800,18,Southeast,1822,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0913 1238,51,F,B,501,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,815,,,,Black,Older Adults (50+),18:00,18,Evening (18-24),2020-05-08,2020-04-01,2020,Apr,Wed,37,1-12 months,90003.0
201611479,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,800,16,Foothill,1667,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0529 0545 0540 1822,53,M,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",815,,,,White,Older Adults (50+),8:00,8,Morning (6-12),2020-07-09,2020-07-09,2020,Jul,Thu,0,0-1 days,91352.0
202108682,04/26/2020 12:00:00 AM,04/25/2020 12:00:00 AM,2200,21,Topanga,2125,1,121,"RAPE, FORCIBLE",0527 1415 0913 1402 0448 0416 0429,57,F,H,108,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,998.0,,,Hispanic,Older Adults (50+),22:00,22,Evening (18-24),2020-04-26,2020-04-25,2020,Apr,Sat,1,0-1 days,91304.0
201410159,04/29/2020 12:00:00 AM,04/28/2020 12:00:00 AM,1800,14,Pacific,1407,1,121,"RAPE, FORCIBLE",1817 0361 0400 0527 1814 0913 2000 1206 2034,53,F,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,Black,Older Adults (50+),18:00,18,Evening (18-24),2020-04-29,2020-04-28,2020,Apr,Tue,1,0-1 days,90232.0
211304982,01/23/2021 12:00:00 AM,07/24/2020 12:00:00 AM,100,13,Newton,1381,1,121,"RAPE, FORCIBLE",0913 0527 1259 0522,15,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,812.0,,,Hispanic,Adolescents (13-17),1:00,1,Night (0-6),2021-01-23,2020-07-24,2020,Jul,Fri,183,1-12 months,90003.0
